,Все
62,586.0
63,664.0
64,2273.0
65,417.0
66,837.0
67,442.0
68,1598.0
69,8468.0
70,2451.0
71,5482.0
72,9560.0
73,10391.0
74,12073.0
75,9849.0
76,9040.0
77,6679.0
78,9511.0
79,7719.0
80,6953.0
81,10719.0
82,28778.0
83,6214.0
84,5513.0
85,5808.0
86,6328.0
87,1525.0
88,497.0
89,402.0
