,Все
0,2.14335542102844
1,2.0077578555299542
2,2.265077322810234
3,2.5773473432605503
4,2.934579995515311
5,3.341436406415734
6,3.804699859737041
7,4.332183414624931
8,4.932787081716006
9,5.616643793434333
10,6.3952898004768715
11,7.281858751027909
12,8.291302534466396
13,9.440642554331092
14,10.749255593409671
15,12.239198993853494
16,13.935580508250329
17,15.866978892010732
18,18.065922112582378
19,20.569430957023723
20,23.419636837155334
21,26.664483732246083
22,30.358525484743613
23,34.56383108676892
24,39.351012175459736
25,44.800388704289084
26,51.003310683886596
27,58.06365599529502
28,66.09952657199038
29,75.24516771853207
30,85.65313796781439
31,97.49675964644743
32,110.97288317116089
33,126.30500096564684
34,143.74674966092283
35,163.58584177301606
36,186.14847013177084
37,211.80422968123997
38,240.97160150647989
39,274.1240425617632
40,311.7967209239565
41,354.59392962011776
42,403.197201087127
43,458.3741277252122
44,520.9878700628428
45,592.0073005931891
46,672.5176857216101
47,763.731747284427
48,867.000864983766
49,983.8260774714494
50,1115.868407833695
51,1264.9578736708038
52,1433.1003376396757
53,1622.4811066493796
54,1835.4638938415144
55,2074.5834169834243
56,2342.5295248715597
57,2642.1203324382927
58,2976.261429450054
59,3347.887846667303
60,3759.8851775261473
61,4214.986149019904
62,4715.639128610757
63,5263.845691970731
64,5860.965633455039
65,6507.489865630535
66,7202.784701560111
67,7944.815163345821
68,8729.860212911457
69,9552.23895704544
70,10404.073452669494
71,11275.119884977223
72,12152.704380947962
73,13021.801006646463
74,13865.285915137883
75,14664.391740870418
76,15399.369486602496
77,16050.341893674307
78,16598.304863096677
79,17026.205866519813
80,17320.005682011022
81,17469.61767847589
82,17469.621538377505
83,17319.667425902106
84,17024.520334927503
85,16593.737368218073
86,16041.015319833064
87,15383.284002963814
88,14639.645736778957
89,13830.269887816376
90,12975.343673884265
91,12094.160082912651
92,11204.396118993503
93,10321.605379082936
94,9458.92293735129
95,8626.960709179288
96,7833.859066701275
97,7085.455125082431
98,6385.528461941071
99,5736.089293961166
100,5137.68056168638
101,4589.6725155990125
102,4090.5352224390363
103,3638.0803037859964
104,3229.667905267905
105,2862.37834519619
106,2533.1502269268804
107,2238.88821437292
108,1976.5443789481337
109,1743.1772292614125
110,1535.9924020147482
111,1352.368657555091
112,1189.8723852340136
113,1046.2633508158538
114,919.493955169165
115,807.7038467144366
116,709.2113529511603
117,622.5028734715266
118,546.2211072804572
119,479.15276687937626
120,420.2162547434529
121,368.4496383061481
122,322.9991512560123
123,283.108366228609
124,248.1081218814451
125,217.40724162692013
126,190.4840484183713
127,166.87865702504945
128,146.18600984071497
129,128.049612572462
130,112.1559206749009
131,98.2293249802936
132,86.0276847421134
133,75.3383575831073
134,65.97467811111116
135,57.77283985866362
136,50.58913843885016
137,44.297537190249344
138,38.78751996779446
139,33.96219902771614
140,29.73664909058103
141,26.036441608326573
142,22.79635598843391
143,19.959247032994735
144,17.475050133299455
145,15.299907828585086
146,13.395403201495483
147,11.727887255707593
148,10.267888917353797
149,8.989597636015803
150,7.870409747730688
151,6.8905308156727925
152,6.032627097246521
153,5.281520111651054
154,4.6239190110119175
155,4.0481861013991125
156,3.544131426995073
157,3.102832829948114
158,2.716478337793175
159,2.37822811668055
160,2.0820935682216373
161,1.822831446057198
162,1.5958511301813183
163,1.3971334269608473
164,1.2231594645240846
165,1.0708484301554957
166,0.9375030515282108
167,0.8207618596810212
168,0.7185573909344404
169,0.6290795894947268
170,0.550743764122084
171,0.48216253252761476
