,Все
323,1.1570100864933717
324,1.1569550959702426
325,1.156899096152961
326,1.1568420689002057
327,1.1567839957589177
328,1.156724857959481
329,1.1566646364108528
330,1.1566033116956382
331,1.1565408640651134
332,1.1564772734341933
333,1.1564125193763513
334,1.1563465811184825
335,1.156279437535718
336,1.156211067146191
337,1.1561414481057455
338,1.1560705582026007
339,1.1559983748519702
340,1.1559248750906232
341,1.155850035571408
342,1.1557738325577258
343,1.1556962419179602
344,1.155617239119859
345,1.1555367992248826
346,1.1554548968825045
347,1.1553715063244678
348,1.1552866013590164
349,1.1552001553650761
350,1.1551121412864092
351,1.1550225316257305
352,1.1549312984387987
353,1.1548384133284686
354,1.1547438474387255
355,1.1546475714486886
356,1.1545495555665948
357,1.1544497695237623
358,1.154348182568534
359,1.15424476346021
360,1.1541394804629637
361,1.1540323013397558
362,1.1539231933462364
363,1.1538121232246474
364,1.153699057197729
365,1.1535839609626244
366,1.1534667996848034
367,1.153347537991987
368,1.1532261399681032
369,1.153102569147249
370,1.1529767885076931
371,1.1528487604659003
372,1.1527184468705944
373,1.1525858089968668
374,1.1524508075403201
375,1.1523134026112822
376,1.152173553729061
377,1.1520312198162739
378,1.1518863591932453
379,1.1517389295724807
380,1.1515888880532272
381,1.1514361911161204
382,1.151280794617941
383,1.1511226537864607
384,1.15096172321542
385,1.1507979568596176
386,1.1506313080301325
387,1.1504617293896913
388,1.1502891729481746
389,1.1501135900582948
390,1.149934931411426
391,1.1497531470336286
392,1.149568186281849
393,1.1493799978403243
394,1.1491885297171973
395,1.148993729241351
396,1.148795543059477
397,1.1485939171333883
398,1.1483887967375908
399,1.1481801264571245
400,1.1479678501856863
401,1.1477519111240522
402,1.1475322517788107
403,1.1473088139614154
404,1.1470815387875832
405,1.146850366677046
406,1.146615237353666
407,1.1463760898459454
408,1.1461328624879306
409,1.1458854929205364
410,1.1456339180933055
411,1.1453780742666193
412,1.1451178970143792
413,1.1448533212271708
414,1.1445842811159421
415,1.1443107102161967
416,1.1440325413927348
417,1.143749706844961
418,1.1434621381127636
419,1.1431697660830087
420,1.1428725209966464
421,1.1425703324564684
422,1.142263129435523
423,1.141950840286222
424,1.1416333927501514
425,1.141310713968609
426,1.1409827304938973
427,1.1406493683013863
428,1.1403105528023736
429,1.1399662088577582
430,1.1396162607925644
431,1.1392606324113168
432,1.1388992470143127
433,1.138532027414798
434,1.138158895957079
435,1.1377797745355873
436,1.1373945846149243
437,1.1370032472509108
438,1.1366056831126548
439,1.1362018125056732
440,1.1357915553960796
441,1.1353748314358645
442,1.1349515599892923
443,1.1345216601604302
444,1.1340850508218399
445,1.1336416506444407
446,1.1331913781285758
447,1.132734151636296
448,1.13226988942488
449,1.1317985096816088
450,1.131319930559819
451,1.1308340702162407
452,1.1303408468496454
453,1.1298401787408132
454,1.1293319842938392
455,1.128816182078785
456,1.1282926908756887
457,1.1277614297199523
458,1.1272223179491005
459,1.1266752752509315
460,1.126120221713059
461,1.1255570778738542
462,1.124985764774781
463,1.1244062040141396
464,1.123818317802207
465,1.1232220290177712
466,1.1226172612660614
467,1.122003938938058
468,1.1213819872711785
469,1.1207513324113243
470,1.1201119014762773
471,1.1194636226204213
472,1.118806425100779
473,1.11814023934433
474,1.1174649970165969
475,1.1167806310914568
476,1.1160870759221622
477,1.1153842673135188
478,1.1146721425951984
479,1.113950640696136
480,1.1132197022199655
481,1.1124792695214565
482,1.1117292867838808
483,1.1109697000972782
484,1.1102004575375357
485,1.1094215092462385
486,1.1086328075112204
487,1.107834306847729
488,1.1070259640801554
489,1.1062077384242281
490,1.1053795915696079
491,1.104541487762777
492,1.1036933938901554
493,1.1028352795613308
494,1.1019671171923149
495,1.1010888820887261
496,1.100200552528784
497,1.0993021098460183
498,1.0983935385115668
499,1.0974748262159637
500,1.0965459639502768
501,1.0956069460864912
502,1.0946577704570017
503,1.0936984384330877
504,1.092728955002237
505,1.0917493288441904
506,1.090759572405563
507,1.0897597019729004
508,1.0887497377440394
509,1.0877297038976215
510,1.086699628660609
511,1.0856595443736723
512,1.0846094875542889
513,1.0835494989574088
514,1.0824796236335332
515,1.0813999109840742
516,1.0803104148138243
517,1.0792111933803994
518,1.0781023094405124
519,1.07698383029292
520,1.0758558278179065
521,1.0747183785131575
522,1.0735715635258924
523,1.072415468681104
524,1.0712501845057834
525,1.070075806249003
526,1.0688924338977126
527,1.0677001721881543
528,1.0664991306127556
529,1.0652894234224064
530,1.064071169624005
531,1.062844492973182
532,1.061609521962103
533,1.0603663898022673
534,1.0591152344022339
535,1.0578561983401864
536,1.0565894288312934
