,Все
343,6754.404650697477
344,6879.385754413932
345,7006.6418936348855
346,7136.213258967443
347,7268.140705498824
348,7402.465762072147
349,7539.2306406251555
350,7678.478245589363
351,7820.252183346942
352,7964.596771742501
353,8111.557049646734
354,8261.17878656874
355,8413.508492313626
356,8568.593426681813
357,8726.48160920628
358,8887.221828923733
359,9050.863654175553
360,9217.457442434044
361,9387.054350149398
362,9559.70634261245
363,9735.466203828142
364,9914.387546394291
365,10096.524821380055
366,10281.93332819818
367,10470.66922446488
368,10662.789535840884
369,10858.352165846885
370,11057.415905646389
371,11260.040443788559
372,11466.286375903414
373,11676.215214341364
374,11889.889397748757
375,12107.372300570729
376,12328.728242472353
377,12554.022497668646
378,12783.321304153687
379,13016.691872818668
380,13254.202396448314
381,13495.92205858474
382,13741.921042247342
383,13992.270538496954
384,14247.042754832019
385,14506.310923404122
386,14770.149309039754
387,15038.633217054723
388,15311.839000847156
389,15589.844069254557
390,15872.726893659892
391,16160.567014831167
392,16453.445049478476
393,16751.442696511946
394,17054.642742983517
395,17363.12906969493
396,17676.986656453748
397,17996.30158695874
398,18321.161053295313
399,18651.65336002118
400,18987.86792782186
401,19329.895296714993
402,19677.827128781955
403,20031.75621040454
404,20391.776453984003
405,20757.98289911911
406,21130.471713219205
407,21509.340191527772
408,21894.686756531304
409,22286.610956727727
410,22685.21346472798
411,23090.59607466381
412,23502.861698874127
413,23922.11436384185
414,24348.459205352337
415,24782.002462844142
416,25222.851472922095
417,25671.1146620022
418,26126.901538057282
419,26590.322681431742
420,27061.489734693245
421,27540.515391488676
422,28027.513384371137
423,28522.59847156433
424,29025.88642263017
425,29537.49400300503
426,30057.53895736964
427,30586.139991817225
428,31123.416754784117
429,31669.489816706802
430,32224.480648368997
431,32788.51159790213
432,33361.705866402386
433,33944.18748212735
434,34536.08127323503
435,35137.51283902808
436,35748.60851966606
437,36369.4953643084
438,37000.30109765107
439,37641.15408481991
440,38292.183294583934
441,38953.51826085216
442,39625.28904241779
443,40307.62618091421
444,41000.66065694753
445,41704.523844371295
446,42419.347462669284
447,43145.26352741357
448,43882.404298765454
449,44630.90222798817
450,45390.88990194112
451,46162.49998552672
452,46945.86516206223
453,47741.118071550176
454,48548.39124682274
455,49367.817047537035
456,50199.52759199983
457,51043.65468680247
458,51900.32975424845
459,52769.68375755866
460,53651.84712384112
461,54546.94966481505
462,55455.120495281226
463,56376.487949333634
464,57311.17949431017
465,58259.321642483264
466,59221.0398604944
467,60196.45847654002
468,61185.70058531968
469,62188.887950760974
470,63206.14090653973
471,64237.57825441779
472,65283.31716042492
473,66343.47304891564
474,67418.15949453624
475,68507.48811214203
476,69611.568444709
477,70730.50784928992
478,71864.41138106912
479,73013.38167557582
480,74177.5188291209
481,75356.92027752791
482,76551.68067323402
483,77761.8917608429
484,78987.64225121694
485,80229.01769420218
486,81486.10035008544
487,82758.9690598889
488,84047.69911461367
489,85352.36212355025
490,86673.02588177941
491,88009.75423699393
492,89362.60695577737
493,90731.63958948258
494,92116.90333985873
495,93518.44492458194
496,94936.30644285059
497,96370.52524121263
498,97821.13377979795
499,99288.15949913496
500,100771.6246877361
501,102271.5463506426
502,103787.93607912427
503,105320.79992173506
504,106870.13825693064
505,108435.94566745812
506,110018.21081673329
507,111616.91632742457
508,113232.03866246647
509,114863.54800872938
510,116511.40816357516
511,118175.57642453088
512,119856.00348231559
513,121552.63331745644
514,123265.40310073229
515,124994.24309768359
516,126739.07657742778
517,128499.81972601947
518,130276.3815645937
519,132068.6638725297
520,133876.56111587025
521,135699.96038122987
522,137538.74131542124
523,139392.7760710264
524,141261.92925813425
525,143146.0579024609
526,145045.0114100643
527,146958.63153885736
528,148886.75237711726
529,150829.20032918104
530,152785.79410850836
531,154756.34473828418
532,156740.65555972367
533,158738.52224823137
534,160749.7328375557
535,162774.06775206796
536,164811.2998472827
537,166861.1944587233
538,168923.50945922302
539,170997.99532473792
540,173084.395208733
541,175182.44502518806
542,177291.87354025393
543,179412.40247257403
544,181543.74660226944
545,183685.61388856903
546,185837.70559604897
547,187999.716429429
548,190171.33467685478
549,192352.24236157796
550,194542.11540192852
551,196740.623779455
552,198947.43171509096
553,201162.1978531883
554,203384.5754532399
555,205614.21258909698
556,207850.75235546895
557,210093.83308147662
558,212343.0885510131
559,214598.14822965028
560,216858.63749781327
561,219124.17788992933
562,221394.38733924396
563,223668.88042798213
564,225947.26864251957
565,228229.16063321615
566,230514.16247855182
567,232801.8779531944
568,235091.90879961834
569,237383.8550028843
570,239677.31506818117
571,241971.88630072496
572,244267.16508760222
573,246562.74718114088
574,248858.22798338687
575,251153.20283126188
576,253447.26728197534
577,255740.01739826298
578,258031.05003302445
579,260319.9631129332
580,262606.35592059506
581,264889.8293748344
582,267169.9863086919
583,269446.4317447236
584,271718.7731671963
585,273986.6207907841
586,276249.5878253767
587,278507.2907366231
588,280759.3495018406
589,283005.38786093454
590,285245.03356198326
591,287477.91860115714
592,289703.6794566543
593,291921.9573163495
594,294132.39829886786
595,296334.6536678109
596,298528.3800388785
597,300713.2395796467
598,302888.9002017788
599,305055.0357454641
600,307211.3261558965
601,309357.4576516235
602,311493.12288461346
603,313618.02109190746
604,315731.8582387413
605,317834.3471530394
606,319925.20765120315
607,322004.16665513156
608,324070.95830043266
609,326125.32403579954
610,328167.01271354407
611,330195.78067129693
612,332211.391804901
613,334213.6176325396
614,336202.2373501586
615,338177.03787825594
616,340137.8139001267
617,342084.3678916679
618,344016.51014285756
619,345934.0587710403
620,347836.8397261594
621,349724.6867880912
622,351597.4415562459
